Timestamp,Type,Token Name,Mint Address,SOL Amount,Buy Price (SOL),Sell Price (SOL),Profit/Loss (SOL),% Gain/Loss
2025-03-03T00:28:03.747Z,BUY,First OpenAI Trading Tool,7WycupWngPdHDRvMMSF4L1BZ1rbSA65fM1ah9Fiipump,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:11.472Z,BUY,1ST PERSON TO SHIT TALK FAVS,TKV8WQfcdweyabBKJtH78v1QAnDbFYEpQiBV8KTpump,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:14.102Z,SELL,Shaking On Live,undefined,0.050000,0.0000000280,0.0000000280,0.0000000000,0.28%
2025-03-03T00:28:21.948Z,SELL,Peetear coin,undefined,0.050000,0.0000000280,0.0000000281,0.0000000000,0.28%
2025-03-03T00:28:24.137Z,SELL,MERCEDES,undefined,0.050000,0.0000000280,0.0000000283,0.0000000000,0.94%
2025-03-03T00:28:24.586Z,BUY,Vietnam Draft Crypto Policy,GHbLSnbB3km8uj7aopLHYVVR7WFQTK51YZJFHbTpump,0.050000,0.0000000296,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:25.099Z,BUY,Magic Money Crate,6qiPnHg38nDW59QPhE5mzKJmp7v4a8JijjZBiGXpump,0.050000,0.0000000291,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:25.329Z,SELL,AFRICA BITCOIN RESERVE,undefined,0.050000,0.0000000299,0.0000000280,-0.0000000001,-6.14%
2025-03-03T00:28:27.867Z,SELL,Live Stripping on Kick,undefined,0.050000,0.0000000289,0.0000000290,0.0000000000,0.28%
2025-03-03T00:28:28.845Z,BUY,South Korean Crypto Reserve,8CxW1z2123YAs55EFCiHyNshVpbZAjeNU33qo2tFpump,0.050000,0.0000000286,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:33.788Z,SELL,First OpenAI Trading Tool,undefined,0.050000,0.0000000299,0.0000000280,-0.0000000001,-6.09%
2025-03-03T00:28:33.919Z,BUY,Crypto Stratégique Réserve ,7KYp44kjHmPZipR22mPkHUQwMzhpbwQzQv7p9WrLpump,0.050000,0.0000000283,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:41.503Z,SELL,1ST PERSON TO SHIT TALK FAVS,undefined,0.050000,0.0000000299,0.0000000299,0.0000000000,0.00%
2025-03-03T00:28:42.687Z,BUY,Live on Kick,HxmtkpPL4ZLKwj1zdSKLihnejGM6TPrgWSzLsvnVpump,0.050000,0.0000000289,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:48.586Z,BUY,Septim Coin,DxrfZUiXpZ3697MR466HrZY8P5X3VGqabEAxwpLwpump,0.050000,0.0000000281,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:51.698Z,BUY,Bullish Trump Cult,9stJ68rvWp5HjFEGUKHe4HV1c9xxnGjzbsSytxSypump,0.050000,0.0000000280,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:52.426Z,BUY,JUSTICE FOR ALBERT,7hRVacBkFsm62NhiSsHLeowRga2i5pG36UgJGY8ypump,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:54.600Z,SELL,Vietnam Draft Crypto Policy,undefined,0.050000,0.0000000296,0.0000000364,0.0000000003,23.00%
2025-03-03T00:28:55.119Z,SELL,Magic Money Crate,undefined,0.050000,0.0000000291,0.0000000374,0.0000000004,28.51%
2025-03-03T00:28:57.565Z,BUY,Crazo AI,GufiJWh8CwPYuAcf9rD3bRaYEcrY6FBrSuuV8odwpump,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:28:58.857Z,SELL,South Korean Crypto Reserve,undefined,0.050000,0.0000000286,0.0000000302,0.0000000001,5.40%
2025-03-03T00:28:59.386Z,BUY,Why are you gay?,14r7pL3xipcjWDnNVfk1UcukR3RGRUEX9JXFv8Gfpump,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:00.916Z,BUY,CatCash,DQEhf4G6DpvuHy5VztWssvGk7gFegVWbVJ1wFkw4pump,0.050000,0.0000000289,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:00.917Z,BUY,Fart Reserve ,DBTkpnXYkDd6mFTS5vmv1i3PvdZzhm2hZhzs7KJtpump,0.050000,0.0000000281,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:03.929Z,SELL,Crypto Stratégique Réserve ,undefined,0.050000,0.0000000283,0.0000000301,0.0000000001,6.07%
2025-03-03T00:29:09.299Z,BUY,Why are you gay?,4zk2Ng98VjbzrA7u5NJZGtdqTbGhpth5R9QypmnNMFZJ,0.050000,0.0000000299,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:12.693Z,SELL,Live on Kick,undefined,0.050000,0.0000000289,0.0000000289,0.0000000000,0.00%
2025-03-03T00:29:12.906Z,BUY,Stripping on Kick Control Me,FHP1oeAJ3hdJ6DMgLz9gtC1wG9WT5zju8qc2ZB3opump,0.050000,0.0000000289,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:13.335Z,BUY,Trump Doge Reserve,4we44tc81wY7tLrDHkWuEEMYsTw7J3cyL22jC1n6pump,0.050000,0.0000000282,0.0000000000,0.0000000000,0.00%
2025-03-03T00:29:18.591Z,SELL,Septim Coin,undefined,0.050000,0.0000000281,0.0000000296,0.0000000001,5.35%
